Title,Company,Location,Stipend,Date,Skills,Link,Stipend_cleaned
Game Analyst,Underpin Services,"Delhi, Noida","₹ 15,000 /month",3 days ago,"Git, GitHub, JavaScript, Machine Learning, Python",https://internshala.com/internship/detail/game-analyst-internship-in-multiple-locations-at-underpin-services1746678400,15000
Full Stack Development,Deepnexus S,Work from home,"₹ 17,000 - 23,000 /month",4 days ago,"HTML, JavaScript, Python",https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-deepnexus-s1746624088,20000
Automation Engineer,Spiritual Sutra Pvt. Ltd,Mumbai,"₹ 10,000 /month",4 days ago,"Automation, AWS Lambda, JavaScript, Python, Scheduling, Script Writing",https://internshala.com/internship/detail/automation-engineer-internship-in-mumbai-at-spiritual-sutra-pvt-ltd1746621124,10000
Software Development,The Future University,"Chandigarh, Mohali","₹ 15,000 - 20,000 /month",4 days agoJob offer upto₹ 11LPApost internship,"HTML, JavaScript, Python",https://internshala.com/internship/detail/software-development-internship-in-multiple-locations-at-the-future-university1746619201,17500
Artificial Neural Networks,Amart Global,Work from home,Unpaid,4 days agoPart time,"Artificial intelligence, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, Prompt Engineering, Python",https://internshala.com/internship/detail/work-from-home-part-time-artificial-neural-networks-internship-at-amart-global1746611081,0
Zoho Developer,ZoChord,Gurgaon,"₹ 2,000 /month",4 days agoJob offer upto₹ 3LPApost internship,"Algorithms, Analytical Thinking, C++ Programming, C Programming, Critical thinking, CSS, Data Structures, Debugging, HTML, Java, JavaScript, MySQL, Object Oriented Programming (OOP), Problem Solving, Python",https://internshala.com/internship/detail/zoho-developer-internship-in-gurgaon-at-zochord1746610064,2000
Software Development  (Python/Django + React),Senso Vision System,Bangalore,"₹ 5,000 - 10,000 /month",4 days ago,"Django, Python, React",https://internshala.com/internship/detail/software-development-python-django-react-internship-in-bangalore-at-senso-vision-system1746608750,7500
Full Stack Development,Vanuston Intelligence Pvt Ltd,Chennai,"₹ 5,000 - 6,000 /month",4 days agoJob offer upto₹ 2.4LPApost internship,"Bootstrap, CSS3, HTML 5, Java, JavaScript, JSON, MySQL, Python",https://internshala.com/internship/detail/full-stack-development-internship-in-chennai-at-vanuston-intelligence-pvt-ltd1746605389,5500
Full Stack AI Engineer - Intern,AffinityAnswers,Work from home,"₹ 30,000 - 35,000 /month",4 days ago,"Java, Linux, Python, Shell Scripting, SQL, Unix",https://internshala.com/internship/detail/work-from-home-full-stack-ai-engineer-intern-internship-at-affinityanswers1746598990,32500
Internet Of Things (IoT),Olus Infomatics,Gurgaon,"₹ 12,000 /month",4 days ago,"C++ Programming, Embedded Systems, Internet of Things (IoT), Python",https://internshala.com/internship/detail/internet-of-things-iot-internship-in-gurgaon-at-olus-infomatics1746594187,12000
